sample,gt_notes,gt_midi,fft_f1,fft_res,fft_n,smr_f1,smr_res,smr_n,uni_f1,uni_res,uni_n,mut_f1,mut_res,mut_n
0,5,"[48, 60, 74, 88, 89]",0.41666666666663194,11.006669636896062,12,0.44444444444439507,14.766443109019114,9,0.9999999999997999,0.015221256949641692,5,0.9999999999997999,0.015221256949641692,5
1,3,"[36, 93, 95]",0.24999999999997916,15.059354586174827,12,0.09999999999999,21.87024254748845,10,0.9999999999996666,0.015645100167083575,3,0.9999999999996666,0.015645100167083575,3
2,3,"[75, 86, 92]",0.24999999999997916,9.860726988140993,12,0.3333333333332963,11.031160562056462,9,0.9999999999996666,0.013102307683847673,3,0.9999999999996666,0.013102308894066123,3
3,3,"[49, 54, 79]",0.24999999999997916,12.53261833874636,12,0.29999999999997,7.2501320821491815,10,0.9999999999996666,0.017276575669449585,3,0.9999999999996666,0.017276575669449585,3
4,4,"[40, 66, 90, 95]",0.33333333333330556,11.103487199076497,12,0.29999999999997,9.840589329642002,10,0.99999999999975,0.013263502366023182,4,0.99999999999975,0.013263503004686325,4
5,5,"[50, 82, 89, 91, 95]",0.41666666666663194,12.052273429676294,12,0.36363636363633056,20.577180996327947,11,0.9999999999997999,0.014669150332225251,5,0.9999999999997999,0.014669150332225251,5
6,3,"[42, 51, 58]",0.16666666666665278,19.041592932542773,12,0.11111111111109877,12.549567419213716,9,0.9999999999996666,0.02415074783638661,3,0.9999999999996666,0.02415074783638661,3
7,2,"[76, 82]",0.16666666666665278,23.102432935375752,12,0.6666666666664445,10.101627639073147,3,0.9999999999995,0.014396438302136766,2,0.9999999999995,0.014396438302136766,2
8,5,"[44, 45, 46, 59, 94]",0.24999999999997916,13.535688190258162,12,0.22222222222219754,12.012371282538709,9,0.9999999999997999,0.015279330951699291,5,0.9999999999997999,0.015279320085241415,5
9,2,"[42, 64]",0.16666666666665278,19.448534322494826,12,0.22222222222219754,12.122988948228627,9,0.9999999999995,0.018413139158232696,2,0.9999999999995,0.018413139158232696,2
10,4,"[60, 69, 70, 75]",0.33333333333330556,13.25022540982011,12,0.36363636363633056,11.907478425977494,11,0.99999999999975,0.015590325182303256,4,0.99999999999975,0.015590325182303256,4
