sample,gt_notes,gt_midi,fft_f1,fft_res,fft_n,smr_f1,smr_res,smr_n,uni_f1,uni_res,uni_n,mut_f1,mut_res,mut_n
0,5,"[48, 60, 74, 88, 89]",0.33333333333330556,15.713046943475634,12,0.9999999999997999,0.015221255432930106,5,0.9999999999997999,0.015221255432930106,5,0.9999999999997999,0.015221255432930106,5
1,5,"[43, 51, 54, 61, 80]",0.33333333333330556,14.798965877950966,12,0.9999999999997999,0.013407254995491596,5,0.99999999999975,3.4149829509447858,4,0.9999999999997999,0.013407254995491596,5
2,4,"[42, 43, 51, 67]",0.16666666666665278,20.81712683340284,12,0.99999999999975,0.021260752645879837,4,0.99999999999975,0.021260752645879837,4,0.99999999999975,0.021260754730845922,4
3,5,"[63, 64, 65, 86, 92]",0.33333333333330556,19.868634298071782,12,0.9999999999997999,0.014689079139144974,5,0.9999999999997999,0.014689079139144974,5,0.79999999999984,4.2035624542459695,5
4,5,"[42, 73, 81, 82, 85]",0.33333333333330556,17.049372367852428,12,0.9999999999997999,0.013053412214338074,5,0.9999999999997999,0.013053412214338074,5,0.9999999999997999,0.013053412214338074,5
5,2,"[70, 71]",0.14285714285712245,25.544819801331705,7,0.153846153846142,5.456714036295043,13,0.9999999999995,0.01167932936252254,2,0.9999999999995,0.01167932936252254,2
6,3,"[39, 56, 89]",0.16666666666665278,16.5394488571455,12,0.9999999999996666,0.012858550620434547,3,0.9999999999996666,0.012858550620434547,3,0.9999999999996666,0.012858550620434547,3
7,6,"[41, 48, 66, 69, 86, 92]",0.41666666666663194,15.55690252245822,12,0.9999999999998334,0.01438214265820266,6,0.8333333333331945,2.3602062722517894,6,0.9999999999998334,0.01438214265820266,6
8,6,"[37, 42, 49, 71, 82, 96]",0.41666666666663194,13.34639995632135,12,0.9999999999998334,0.014710580672444734,6,0.9999999999998334,0.014710580672444734,6,0.9999999999997999,1.8345087091005,5
9,6,"[49, 55, 57, 65, 75, 93]",0.4999999999999583,6.235803563926622,12,0.9999999999998334,0.010930421606572987,6,0.9999999999998334,0.010930421606572987,6,0.8333333333331945,2.5490933268645257,6
